0,1,2,3,4
2012.09.23vasárnap,22,13,2.8,Napos
2012.09.24hétfő,25,14,4.4,Részben felhõs
2012.09.25kedd,25,14,5,Napos
2012.09.26szerda,26,17,6.9,Napos
2012.09.27csütörtök,28,16,5.8,Napos
2012.09.28péntek,22,14,4.7,Részben felhõs
2012.09.29szombat,25,17,3.3,Napos
2012.09.30vasárnap,24,15,3.9,Napos
2012.10.01hétfő,25,16,2.5,Napos
2012.10.02kedd,23,13,3.9,A közelben vihogó kitörések
2012.10.03szerda,20,14,5,Napos
2012.10.04csütörtök,22,13,2.2,Részben felhõs
2012.10.05péntek,20,11,3.9,Napos
2012.10.06szombat,23,14,3.6,Napos
2012.10.07vasárnap,22,8,6.7,Részben felhõs
2012.10.08hétfő,15,6,6.1,Napos
2012.10.09kedd,16,7,4.7,Részben felhõs
2012.10.10szerda,16,7,3.3,Napos
2012.10.11csütörtök,16,8,2.8,Napos
2012.10.12péntek,16,9,3.9,Részben felhõs
2012.10.13szombat,17,10,2.2,Részben felhõs
2012.10.14vasárnap,15,11,3.1,Felhõs
2012.10.15hétfő,20,12,3.9,Részben felhõs
2012.10.16kedd,16,7,4.2,Könnyû szitálás
2012.10.17szerda,17,9,3.9,Napos
2012.10.18csütörtök,17,9,3.9,Napos
2012.10.19péntek,19,10,2.5,Napos
2012.10.20szombat,21,11,1.7,Napos
2012.10.21vasárnap,21,12,2.5,Napos
2012.10.22hétfő,23,12,0.8,Napos
2012.10.23kedd,20,9,2.2,Napos
2012.10.24szerda,18,8,1.4,Napos
2012.10.25csütörtök,15,8,3.1,Napos
2012.10.26péntek,12,9,3.3,Részben felhõs
2012.10.27szombat,14,5,7.2,Könnyû esõ
2012.10.28vasárnap,6,2,5.8,Könnyû esõ
2012.10.29hétfő,4,-1,3.6,Enyhe havazás
2012.10.30kedd,5,1,5,Napos
2012.10.31szerda,7,2,4.4,Napos
2012.02.01szerda,-5,-8,5,Részben felhõs
2012.02.02csütörtök,-7,-11,4.2,Részben felhõs
2012.02.03péntek,-7,-12,4.4,Felhõs
2012.02.04szombat,-8,-10,5,Mérsékelt hó
2012.02.05vasárnap,-8,-13,2.2,Felhõs
2012.02.06hétfő,-8,-12,4.4,Felhõs
2012.02.07kedd,-6,-11,4.4,Enyhe havazás
2012.02.08szerda,-8,-18,2.2,Napos
2012.02.09csütörtök,-8,-16,2.2,Részben felhõs
2012.02.10péntek,-7,-15,2.2,Részben felhõs
2012.02.11szombat,-7,-15,3.9,Részben felhõs
2012.02.12vasárnap,-5,-15,3.1,Részben felhõs
2012.02.13hétfő,-5,-10,3.6,Napos
2012.02.14kedd,-4,-11,2.8,Napos
2012.02.15szerda,0,-9,10.3,Hófúvás
2012.02.16csütörtök,-1,-7,10.8,Részben felhõs
2012.02.17péntek,1,-6,6.1,Mérsékelt hó
2012.02.18szombat,1,-2,5.3,Köd
2012.02.19vasárnap,1,-2,4.7,Könnyû hó
2012.02.20hétfő,2,-1,3.3,Köd
2012.02.21kedd,4,-3,2.5,Napos
2012.02.22szerda,4,-3,2.5,Napos
2012.02.23csütörtök,4,-1,5.8,Napos
2012.02.24péntek,6,1,7.5,Részben felhõs
2012.02.25szombat,11,4,6.4,Részben felhõs
2012.02.26vasárnap,7,-1,7.8,Részben felhõs
2012.02.27hétfő,3,-2,6.4,Napos
2012.02.28kedd,1,-1,2.8,Enyhe havazás
2012.02.29szerda,10,2,7.2,Napos
2012.07.01vasárnap,33,20,4.2,Napos
2012.07.02hétfő,33,20,3.3,Napos
2012.07.03kedd,33,18,4.2,Napos
2012.07.04szerda,34,18,3.3,Napos
2012.07.05csütörtök,34,19,2.2,Napos
2012.07.06péntek,34,22,3.1,Napos
2012.07.07szombat,34,21,2.8,Napos
2012.07.08vasárnap,32,20,4.2,Napos
2012.07.09hétfő,31,19,4.2,Hûvös esõ a közelben
2012.07.10kedd,30,18,2.5,Részben felhõs
2012.07.11szerda,31,17,3.6,A közelben vihogó kitörések
2012.07.12csütörtök,25,14,8.1,Napos
2012.07.13péntek,27,12,4.4,Részben felhõs
2012.07.14szombat,29,14,5.3,Hûvös esõ a közelben
2012.07.15vasárnap,24,13,5.3,Hûvös esõ a közelben
2012.07.16hétfő,22,12,7.2,Napos
2012.07.17kedd,22,13,6.4,Részben felhõs
2012.07.18szerda,24,15,5.6,Részben felhõs
2012.07.19csütörtök,29,17,6.4,Napos
2012.07.20péntek,25,14,3.6,Napos
2012.07.21szombat,23,14,5,Felhõs
2012.07.22vasárnap,25,14,4.2,Részben felhõs
2012.07.23hétfő,27,16,5.6,Napos
2012.07.24kedd,29,18,4.4,Napos
2012.07.25szerda,27,19,3.6,A közelben vihogó kitörések
2012.07.26csütörtök,30,19,3.1,Hûvös esõ a közelben
2012.07.27péntek,31,20,1.9,Napos
2012.07.28szombat,32,21,3.1,Napos
2012.07.29vasárnap,33,18,4.7,Napos
2012.07.30hétfő,30,17,3.6,Hûvös esõ a közelben
2012.07.31kedd,29,17,4.4,Részben felhõs
2012.04.01vasárnap,9,1,7.8,Napos
2012.04.02hétfő,14,5,5.8,Napos
2012.04.03kedd,18,9,4.7,Napos
2012.04.04szerda,21,9,5,A közelben vihogó kitörések
2012.04.05csütörtök,23,12,3.1,Napos
2012.04.06péntek,22,8,4.7,Napos
2012.04.07szombat,13,4,4.4,Mérsékelt esõ
2012.04.08vasárnap,9,-1,7.5,Részben felhõs
2012.04.09hétfő,10,0,4.2,Napos
2012.04.10kedd,11,2,4.7,Napos
2012.04.11szerda,15,6,5.3,Felhõs
2012.04.12csütörtök,14,5,5.3,Felhõs
2012.04.13péntek,17,9,3.3,Részben felhõs
2012.04.14szombat,14,8,4.7,Könnyû szitálás
2012.04.15vasárnap,16,7,2.8,Könnyû esõzuhany
2012.04.16hétfő,13,6,6.1,Felhõs
2012.04.17kedd,14,5,5,Részben felhõs
2012.04.18szerda,17,6,2.5,Részben felhõs
2012.04.19csütörtök,17,6,4.4,Részben felhõs
2012.04.20péntek,19,8,4.4,Részben felhõs
2012.04.21szombat,17,7,5.3,Hûvös esõ a közelben
2012.04.22vasárnap,16,7,5.6,Felhõs
2012.04.23hétfő,17,8,4.2,Részben felhõs
2012.04.24kedd,19,9,6.4,Részben felhõs
2012.04.25szerda,16,7,4.4,Napos
2012.04.26csütörtök,20,9,6.1,Napos
2012.04.27péntek,23,11,3.9,Napos
2012.04.28szombat,25,13,5.3,Napos
2012.04.29vasárnap,26,14,6.9,Napos
2012.04.30hétfő,27,14,2.8,Napos
2013.08.03szombat,39,21,2.8,Napos
2013.08.04vasárnap,37,19,3.3,Napos
2013.08.05hétfő,38,21,1.9,Napos
2013.08.06kedd,38,21,2.8,Napos
2013.08.07szerda,37,23,3.6,Napos
2013.08.08csütörtök,39,22,4.2,Napos
2013.08.09péntek,38,20,3.3,Napos
2013.08.10szombat,28,14,7.2,Hûvös esõ a közelben
2013.08.11vasárnap,30,17,3.3,Napos
2013.08.12hétfő,31,17,2.8,Napos
2013.08.13kedd,33,17,6.4,Napos
2013.08.14szerda,21,11,5.3,Részben felhõs
2013.08.15csütörtök,28,13,2.5,Napos
2013.08.16péntek,33,14,1.7,Napos
2013.08.17szombat,34,18,1.9,Napos
2013.08.18vasárnap,36,19,2.8,Napos
2013.08.19hétfő,36,18,3.3,Napos
2013.08.20kedd,33,17,5.8,Részben felhõs
2013.08.21szerda,30,14,3.9,Hûvös esõ a közelben
2013.08.22csütörtök,31,14,1.9,Részben felhõs
2013.08.23péntek,32,16,2.5,Napos
2013.08.24szombat,31,18,4.2,Részben felhõs
2013.08.25vasárnap,28,16,3.9,Felhõs
2013.08.26hétfő,28,14,3.3,Mérsékelt vagy heves esõzuhany
2013.08.27kedd,28,16,2.5,Napos
2013.08.28szerda,27,15,2.8,A közelben vihogó kitörések
2013.08.29csütörtök,26,14,3.9,Részben felhõs
2013.08.30péntek,27,14,2.5,Részben felhõs
2013.08.31szombat,28,15,2.5,Napos
2013.12.01vasárnap,6,-1,3.3,Napos
2013.12.02hétfő,8,-1,3.6,Napos
2013.12.03kedd,4,-2,2.2,Napos
2013.12.04szerda,3,-1,3.6,Részben felhõs
2013.12.05csütörtök,5,-1,6.1,Napos
2013.12.06péntek,4,-1,11.1,Napos
2013.12.07szombat,3,-1,12.8,Felhõs
2013.12.08vasárnap,4,0,5.8,Felhõs
2013.12.09hétfő,6,2,9.2,Könnyû szitálás
2013.12.10kedd,4,-1,4.7,Napos
2013.12.11szerda,4,0,1.4,Napos
2013.12.12csütörtök,7,2,2.2,Napos
2013.12.13péntek,7,-2,1.1,Napos
2013.12.14szombat,6,0,2.5,Napos
2013.12.15vasárnap,4,-1,2.8,Részben felhõs
2013.12.16hétfő,5,-1,1.7,Napos
2013.12.17kedd,4,-3,2.5,Napos
2013.12.18szerda,4,-3,1.9,Napos
2013.12.19csütörtök,0,-3,3.1,Napos
2013.12.20péntek,3,-2,2.5,Napos
2013.12.21szombat,4,-2,3.9,Napos
2013.12.22vasárnap,3,-1,2.8,Részben felhõs
2013.12.23hétfő,5,0,2.2,Részben felhõs
2013.12.24kedd,6,0,3.9,Napos
2013.12.25szerda,7,1,6.4,Napos
2013.12.26csütörtök,6,3,5.6,"Hûvös, könnyû szitálás"
2013.12.27péntek,8,2,3.6,Napos
2013.12.28szombat,9,3,4.7,Részben felhõs
2013.12.29vasárnap,8,3,3.6,Napos
2013.12.30hétfő,8,1,3.6,Részben felhõs
2013.12.31kedd,5,0,2.5,Részben felhõs
2013.06.01szombat,19,9,2.2,Könnyû esõzuhany
2013.06.02vasárnap,19,10,4.7,Könnyû esõzuhany
2013.06.03hétfő,20,9,8.3,Könnyû esõzuhany
